Keyword,Description,Extension,DataType,PopulatedBy
# ================================================
# Processing
# ================================================
ORIGID,Original L0 observation ID,RECEIPT,str,KPF0.from_fits
KOAID,KOA archive ID (WMKO req.),RECEIPT,str,KPF0.from_fits
PROGID,WMKO program ID (WMKO req.),RECEIPT,str,KPF0.from_fits
DRPVERNO,Pipeline version (WMKO req.; EPRV equivalent is DRPTAG),RECEIPT,str,KPF0.from_fits
DRPSTATU,DRP reduction status (WMKO req.),RECEIPT,str,KPF0.from_fits
# ================================================
# Quality Control
# ================================================
DATAPRL0,QC: GREEN/RED amps present and populated,QUALITY_CONTROL,int,QCL0
KWRDPRL0,QC: required L0 PRIMARY keywords present,QUALITY_CONTROL,int,QCL0
TELEPRL0,QC: TELEMETRY extension present in L0,QUALITY_CONTROL,int,QCL0
CAHKPRL0,QC: CA_HK extension present in L0,QUALITY_CONTROL,int,QCL0
DATTIMOK,QC: Dates/times consistent (DATE-BEG/MID/END/ELAPSED),QUALITY_CONTROL,int,QCL0
EXPTIMOK,"QC: EXPTIME finite/non-neg, matches ELAPSED",QUALITY_CONTROL,int,QCL0
READOK,QC: CCD read properly (not a smeared 6-6.7 s readout),QUALITY_CONTROL,int,QCL0
NTPOK,QC: NTP clock error < 100 ms,QUALITY_CONTROL,int,QCL0
TARGETOK,QC: pointing consistent with target/catalog RA/DEC,QUALITY_CONTROL,int,QCL0
ASTROMOK,QC: catalog epoch/equinox/rv/parallax/PM in physical range,QUALITY_CONTROL,int,QCL0
COLOROK,QC: catalog color present and in physical range,QUALITY_CONTROL,int,QCL0
EMTIMEOK,QC: exposure meter times consistent with shutter window,QUALITY_CONTROL,int,QCL0
EMFLUXOK,QC: exposure meter flux not saturated or negative,QUALITY_CONTROL,int,QCL0
GREENL0,QC: GREEN dead/over-exposed pixel fractions within limits,QUALITY_CONTROL,int,QCL0
REDL0,QC: RED dead/over-exposed pixel fractions within limits,QUALITY_CONTROL,int,QCL0
NOTJUNK,QC: obs_id not in junk list,QUALITY_CONTROL,int,QCL0
# ================================================
# Diagnostics
# ================================================
TCSOFF,Pointing offset from TCS/DCS target (arcsec),QUALITY_CONTROL,float,DiagL0
OBJOFF,Pointing offset from OBJECT SIMBAD position (arcsec),QUALITY_CONTROL,float,DiagL0
GAIAOFF,Pointing offset from GAIAID position (arcsec),QUALITY_CONTROL,float,DiagL0
DEADPXFG,Fraction of raw GREEN pixels below 1.0e4 D.N.,QUALITY_CONTROL,float,DiagL0
DEADPXFR,Fraction of raw RED pixels below 1.0e4 D.N.,QUALITY_CONTROL,float,DiagL0
SATPXFG,Fraction of raw GREEN pixels above 5.0e8 D.N.,QUALITY_CONTROL,float,DiagL0
SATPXFR,Fraction of raw RED pixels above 5.0e8 D.N.,QUALITY_CONTROL,float,DiagL0
P16GAMP1,16th percentile of raw GREEN_AMP1 (D.N.),QUALITY_CONTROL,float,DiagL0
P16GAMP2,16th percentile of raw GREEN_AMP2 (D.N.),QUALITY_CONTROL,float,DiagL0
P16GAMP3,16th percentile of raw GREEN_AMP3 (D.N.),QUALITY_CONTROL,float,DiagL0
P16GAMP4,16th percentile of raw GREEN_AMP4 (D.N.),QUALITY_CONTROL,float,DiagL0
P50GAMP1,50th percentile of raw GREEN_AMP1 (D.N.),QUALITY_CONTROL,float,DiagL0
P50GAMP2,50th percentile of raw GREEN_AMP2 (D.N.),QUALITY_CONTROL,float,DiagL0
P50GAMP3,50th percentile of raw GREEN_AMP3 (D.N.),QUALITY_CONTROL,float,DiagL0
P50GAMP4,50th percentile of raw GREEN_AMP4 (D.N.),QUALITY_CONTROL,float,DiagL0
P84GAMP1,84th percentile of raw GREEN_AMP1 (D.N.),QUALITY_CONTROL,float,DiagL0
P84GAMP2,84th percentile of raw GREEN_AMP2 (D.N.),QUALITY_CONTROL,float,DiagL0
P84GAMP3,84th percentile of raw GREEN_AMP3 (D.N.),QUALITY_CONTROL,float,DiagL0
P84GAMP4,84th percentile of raw GREEN_AMP4 (D.N.),QUALITY_CONTROL,float,DiagL0
P16RAMP1,16th percentile of raw RED_AMP1 (D.N.),QUALITY_CONTROL,float,DiagL0
P16RAMP2,16th percentile of raw RED_AMP2 (D.N.),QUALITY_CONTROL,float,DiagL0
P16RAMP3,16th percentile of raw RED_AMP3 (D.N.),QUALITY_CONTROL,float,DiagL0
P16RAMP4,16th percentile of raw RED_AMP4 (D.N.),QUALITY_CONTROL,float,DiagL0
P50RAMP1,50th percentile of raw RED_AMP1 (D.N.),QUALITY_CONTROL,float,DiagL0
P50RAMP2,50th percentile of raw RED_AMP2 (D.N.),QUALITY_CONTROL,float,DiagL0
P50RAMP3,50th percentile of raw RED_AMP3 (D.N.),QUALITY_CONTROL,float,DiagL0
P50RAMP4,50th percentile of raw RED_AMP4 (D.N.),QUALITY_CONTROL,float,DiagL0
P84RAMP1,84th percentile of raw RED_AMP1 (D.N.),QUALITY_CONTROL,float,DiagL0
P84RAMP2,84th percentile of raw RED_AMP2 (D.N.),QUALITY_CONTROL,float,DiagL0
P84RAMP3,84th percentile of raw RED_AMP3 (D.N.),QUALITY_CONTROL,float,DiagL0
P84RAMP4,84th percentile of raw RED_AMP4 (D.N.),QUALITY_CONTROL,float,DiagL0
