Keyword,Description,Units,DataType,ExampleValue,PopulatedBy
WCSAXES,Number of WCS axes,N/A,int,67,
CTYPEN,Wavelength axis description,N/A,string,WAVE,
CPDISN,Wavelength axis function type,N/A,string,Polynomial,
CUNITN,Wavelength units,N/A,string,Angstrom,
CRPIXN,Reference pixel position,pixels,uint,2040,
CRVALN,Reference pixel wavelength,Angstrom,float32,5246.387496,
CDELTN,Linear dispersion at ref pixel wavelength,AA/,float32,0.004352,
PSN_0,Subtype of function CPDIS,N/A,string,Legendre,
PSN_1,Number of parameters in function PSN_0,N/A,int,5,
PSN_2,Function domain,pixels,string,"[1,4080]",
PSN_3,Number of the physical echelle order,order,uint,103,
PSN_4,Function window,N/A,string,"[-1,1]",
PVN_0,Function coefficient 0,N/A,float32,5240,
PVN_1,Function coefficient 1,N/A,float32,0.342145,
